recipient,D-10,D-12,D-13U,D-14,D-15Fryst,D-2,D-3,D-4,D-5Fryst,D-6Fresk,D-7Fryst,D-9Fryst
11,0.5861500983846427,0.6042179777440868,0.6527502520111929,0.555239767651399,0.5751551767903815,0.7208292024151172,0.6764732172654404,0.674910583523958,0.6665167684997838,0.6339285491497704,0.6969091854801963,0.4997325643322736
12,0.587684028541612,0.6100867953739658,0.6337578233464215,0.6030260248817625,0.5390170416563161,0.8754520302798369,0.6069322322603206,0.7150471410639433,0.7325169086729098,0.5765722307273328,0.7448517863192522,0.6168121536321023
16,0.4698771446979816,0.6172034730178577,0.6043366927860022,0.6136374717171353,0.440218381274897,0.6829719374890213,0.45473274631154686,0.7050264902353408,0.6905320733637803,0.6050662166284593,0.7655275335751738,0.5700104181035606
18,0.5250156315831013,0.6125567728783153,0.5793931077335133,0.6563840296686959,0.5467459679300258,0.6888743217911519,0.5933800959574194,0.6866636313026457,0.7011149378549518,0.569965450302857,0.906395720554778,0.6156128016977366
19,0.5065941901634776,0.5437089992921647,0.5611889889103864,0.5109827341017834,0.5645335557373465,0.5805516395845076,0.4571576548783993,0.5732267678949865,0.5728594323910905,0.4977110144067105,0.7115674278784538,0.5142830765433855
22,0.6363769464059155,0.5367622727203595,0.6258774799470189,0.5559319862522273,0.5034017802287223,0.5970147055414625,0.7104369643284124,0.6716760966839505,0.653123968033925,0.6169059286414942,0.6762535057557226,0.6495688737890178
23,0.5615717105887726,0.5888226421971636,0.5848104601560785,0.4716627959482686,0.5049642283660623,0.6541437023988147,0.6490988170400683,0.6381466805083923,0.6555555604104195,0.5816018395440744,0.6550078489067488,0.5525744584659065
24,0.49962347046105016,0.5084458241419962,0.5013466412822912,0.633461524266653,0.45777945959754957,0.6136803143612416,0.5346811202580409,0.6461330811222876,0.606916824805297,0.5223474974422792,0.6430090359085634,0.5513503889877963
25,0.4688290988462833,0.5079007027074248,0.5038046422774443,0.4553293246341811,0.45377203061996235,0.567410271087559,0.5263296882975372,0.6306511393248464,0.6358098917671454,0.587006611748205,0.6570382087267329,0.5223071014965484
3,0.4738196232285922,0.47608418188487633,0.5622239469213737,0.5444871607756179,0.39378725422966976,0.6443548570583115,0.5102284657841826,0.6867440146640256,0.6476268031077902,0.4822418581218416,0.6910582621582045,0.578272023762853
30,0.4707508460878283,0.5115547598286037,0.54950147650919,0.48720948355121546,0.44420519479862625,0.6334187203330516,0.5374454356398933,0.6883093934110762,0.7131381607323622,0.5349749954230214,0.694068856360277,0.5580602149982774
31,0.4877315681788244,0.5148641288482052,0.5320330796699627,0.49210378283977,0.4644810200418375,0.562577792289193,0.5521240262263257,0.6817701262532577,0.61550996156373,0.4870977627628251,0.6501504008074745,0.5422097697069922
32,0.5396335536695918,0.5179692435718035,0.5592279524206707,0.5569909747990647,0.45364320644683,0.5709769656335931,0.5905974554696755,0.6254773493030492,0.6352881813213687,0.581216117886812,0.7067057482307398,0.6139563197657539
33,0.4515148315310946,0.5348858024461387,0.5102456883760846,0.43697701432367775,0.4543857032429701,0.5924608712635172,0.5013275279714413,0.5822081805458964,0.5892830816964191,0.46008051416758555,0.5703091771995286,0.516813284470418
36,0.5416024701011108,0.5363299722413092,0.5214547979507341,0.5452261321599027,0.4654087870926558,0.6521673117178611,0.528518061340106,0.6528618613547318,0.6716117634905879,0.5391216868465745,0.6798290953942705,0.5077852276207941
37,0.5000337572719531,0.5786495032680038,0.5923204304817259,0.5598194097185536,0.46149261422074567,0.6567374547267306,0.563118008003362,0.6469320767027031,0.6360341003286959,0.5860243238057128,0.6332617920684853,0.5669279568234566
54,0.4938033100855922,0.5534734823841029,0.5168301800090042,0.5171941555352971,0.4694067405673952,0.6184829752986509,0.529451333235823,0.6204867516089234,0.6223806720065347,0.49428295991370613,0.6231917214879067,0.5338401211969297
56,0.4434637378547327,0.5594060786239591,0.6437805275216153,0.6166696168557249,0.4712597312503065,0.6824607470998962,0.5573294369028137,0.7079903696472498,0.7036719609751161,0.5623330511826827,0.7292014510532718,0.6828130409258129
59,0.6010708807874138,0.5333993494705397,0.5951430592631388,0.5569634793986882,0.41951637834920075,0.648010230460738,0.5484560728797725,0.6661248760851516,0.6635899142413498,0.4800153284688257,0.7584205054056178,0.5825214276633579
70,0.5037330139219626,0.5215065802187753,0.6045062179457185,0.5764804376080963,0.43889557080965347,0.6369456984322661,0.5156756300121639,0.6841101519693518,0.6856682649464503,0.5078693187656756,0.702656224823662,0.6220425288048149
71,0.5233788359690319,0.570506465942272,0.6082808308130566,0.6145523030458983,0.5453856096887959,0.6469719550876725,0.5497622320115146,0.6565248326489006,0.6614716223802531,0.4840365647571905,0.6905996015995989,0.5656114215079664
75,0.4957198129084438,0.5107783935752753,0.7452756894230025,0.5766174890463444,0.4307093429620802,0.5800504616821733,0.5200615903631948,0.6522305159838641,0.6450423875369851,0.4738291791021611,0.6301896524389838,0.5920763945108514
77,0.6074721542827051,0.6336984044904981,0.7808317994933368,0.6460135570293312,0.6270410539644224,0.7151289082308254,0.5847535057927346,0.7140010641522664,0.7073733640693645,0.5950615031163287,0.7323235597403012,0.578058896426663
78,0.5771131279216353,0.5623616744198117,0.7201398836648926,0.5514657288158312,0.4742478583638904,0.6627986370575846,0.6647928005628942,0.6756044629402455,0.6770353108629601,0.6134481344716715,0.6928769645741057,0.6170738329364202
88,0.4645824044092874,0.4738500692981674,0.4836194983328169,0.42227894278826517,0.45745287707673254,0.5700420523774216,0.5180080794576631,0.6093396910040505,0.6294197967653531,0.4831967988573361,0.6551019955211929,0.4572557963103451
89,0.48657679849053803,0.5239250772580794,0.502392236988731,0.4623721470727385,0.46953196540490805,0.5702792198283141,0.46571202370330206,0.5682915538597827,0.5526283678173332,0.47241614538161425,0.6466055633577716,0.5114097746051013
90,0.4775850903374936,0.48303322430450096,0.4883532879497341,0.458989829896315,0.4515079211576177,0.5653338507576132,0.5600960411431961,0.5696906351762363,0.5650221056760577,0.4855597480085145,0.5629490679078059,0.46528937468535714
